country,co2_em_tonnes,pop_2016,gdp_per_capita
Afghanistan,9900004,35383032,700
Albania,5208319,2886438,4500
Algeria,156220560,40551392,6000
Angola,30566933,28842489,1900
Anguilla,30262,14429,8600
Antigua and Barbuda,438763,94527,16727
Argentina,200708270,43508460,11200
Armenia,4597845,2936143,3500
Aruba,286871,104872,28000
Australia,414988700,24262712,29000
Austria,73764112,8747301,30000
Azerbaijan,33614235,9736043,3400
Bahamas,4404247,377930,32218
Bahrain,24458384,1425792,16900
Bangladesh,74476230,157977153,1900
Barbados,1541447,285796,15700
Belarus,62655669,9445643,6100
Belgium,94722813,11354420,29100
Belize,1114105,368400,4900
Benin,6563709,10872063,1100
Bermuda,639352,63362,36000
Bhutan,1682100,736708,1300
Bolivia,19463728,11031814,2400
Bosnia and Herzegovina,25674120,3386266,6066
Botswana,6438429,2159927,9000
Brazil,462994920,206163053,7600
British Virgin Islands,99762,29355,34246
Brunei,7672127,419800,18600
Bulgaria,50872910,7151953,7600
Burkina Faso,2352070,18646357,1100
Burundi,1093618,10487995,600
Cambodia,6496958,15766292,1900
Cameroon,9454331,23926551,1800
Canada,675918610,36382944,29800
Cape Verde,99687,531146,1400
Cayman Islands,406057,62569,35000
Central African Republic,543229,4537686,476
Chad,1670941,14561660,1200
Chile,81258525,18209068,9900
China,10432751400,1414049351,5000
Colombia,77667594,48175052,6300
Comoros,108422,795592,700
Cook Islands,37354,17524,5000
Costa Rica,8328890,4899345,9100
Croatia,19408194,4208602,10600
Cuba,30389116,11335104,2900
Cyprus,6872427,1170187,19200
Czech Republic,111825428,10618857,15700
Czechoslovakia,111825428,10618857,23079
Democratic Republic of the Congo,6564773,78789127,562
Denmark,38007645,5711349,31100
Djibouti,1508851,929112,1300
Dominica,185767,71307,5400
Dominican Republic,23466740,10397741,6000
Ecuador,40065690,16491116,3300
Egypt,219377350,94447073,4000
El Salvador,6853766,6356143,4800
Equatorial Guinea,2156371,1215180,2700
Eritrea,684140,3376557,700
Estonia,22402414,1316510,12300
Ethiopia,10438855,103603462,700
Faeroe Islands,1953,48173,55823
Falkland Islands,48568,2928,70800
Fiji,1703193,872399,5800
Finland,51183960,5497713,27400
France,331533320,64667596,27600
French Guiana,1473719,267821,8300
French Polynesia,1003249,274575,17500
Gabon,5694208,2007873,5500
Gambia,254127,2149136,716
Georgia,8610414,4015450,2500
Germany,775752190,82193768,27600
Ghana,14469986,28481945,2200
Gibraltar,572708,33737,17500
Greece,67840662,10615185,20000
Greenland,1530,56412,20000
Grenada,554848,110261,5000
Guadeloupe,2478038,399763,8000
Guatemala,18539316,16583076,4100
Guinea,2071798,11738429,2100
Guinea-Bissau,318706,1782438,800
Guyana,3253057,771368,4000
Haiti,3086897,10839970,1600
Honduras,9320279,9270795,2600
Hong Kong,47066386,7243542,28800
Hungary,51018899,9752975,13900
Iceland,3923884,332206,30900
India,2533638100,1324517249,2900
Indonesia,530035650,261556381,3200
Iran,642560030,79563989,7000
Iraq,162646160,36610632,1500
Ireland,39086565,4695779,29600
Israel,65201588,8108985,19800
