country,co2_em_tonnes_2017,population_2017,gdp_per_capita
Afghanistan,178502925,36296400,700
Albania,277278189,2873457,4500
Algeria,4107869896,41389198,6000
Andorra,13717377,77001,19000
Angola,623762311,29816748,1900
Anguilla,3040078,14584,8600
Antigua and Barbuda,21756717,95426,16727
Argentina,7977373398,44044811,11200
Armenia,273731872,2944809,3500
Aruba,74231827,105366,28000
Australia,17360810555,24601860,29000
Austria,5303713347,8797566,30000
Azerbaijan,2471780322,9854033,3400
Bahamas,157456745,381761,32218
Bahrain,826530054,1494074,16900
Bangladesh,1361147180,159670593,1900
Barbados,51506565,286233,15700
Belarus,4058119852,9498264,6100
Belgium,12257548524,11375158,29100
Belize,17162217,375769,4900
Benin,98792204,11175204,1100
Bermuda,27146704,63874,36000
Bhutan,13762670,745568,1300
Bolivia,461310418,11192854,2400
Bonaire Sint Eustatius and Saba,20786824,19179,22500
Bosnia and Herzegovina,839470358,3351527,6066
Botswana,131552447,2205128,9000
Brazil,14190905220,207833831,7600
British Virgin Islands,4416724,29577,34246
Brunei,335970645,424473,18600
Bulgaria,3703285889,7075947,7600
Burkina Faso,50218081,19193284,1100
Burundi,10728250,10827024,600
Cambodia,105225247,16009414,1900
Cameroon,194766284,24566045,1800
Canada,31913521876,36540268,29800
Cape Verde,11572647,537497,1400
Cayman Islands,14062432,63382,35000
Central African Republic,11448062,4596028,476
Chad,14410061,15016773,1200
Chile,2657499285,18470439,9900
China,200000000000,1386395000,5000
Christmas Island,1330032,1843,0
Colombia,3110040939,48901066,6300
Comoros,4221082,813892,700
Cook Islands,2044872,17507,5000
Costa Rica,231692589,4949954,9100
Cote d'Ivoire,303413163,24437469,1400
Croatia,981746998,4124531,10600
Cuba,1656996984,11339259,2900
Curacao,416123737,160175,19568
Cyprus,270926137,1179680,19200
Czech Republic,8321584468,10594438,15700
Czechoslovakia,11241448784,10580000,23079
Democratic Republic of the Congo,186868045,81400000,562
Denmark,3991753370,5764980,31100
Djibouti,19174274,944097,1300
Dominica,3921840,71458,5400
Dominican Republic,666238638,10513131,6000
Ecuador,1100685365,16785361,3300
Egypt,5561231356,96440000,4000
El Salvador,213279980,6388122,4800
Equatorial Guinea,92146727,1262001,2700
Eritrea,16336483,5068831,700
Estonia,1147762306,1317384,12300
Ethiopia,207190474,106400024,700
Faeroe Islands,28545340,48331,55823
Falkland Islands,4785184,3068,70800
Fiji,45160830,877459,5800
Finland,3065528408,5508214,27400
France,37768075471,66865144,27600
French Guiana,21361120,275191,8300
French Polynesia,27182548,276103,17500
Gabon,245703654,2064823,5500
Gambia,12030971,2214000,716
Georgia,593121176,3728004,2500
Germany,90565630028,82657002,27600
Ghana,316321491,29121471,2200
Gibraltar,11380384,33728,17500
Greece,3884493460,10754679,20000
Greenland,30246493,56171,20000
Grenada,7332340,110874,5000
Guadeloupe,66083904,399672,8000
Guatemala,404420205,16914936,4100
Guinea,77269714,12067539,2100
Guinea-Bissau,9228086,1828146,800
Guyana,89660737,775221,4000
Haiti,69042835,10982366,1600
Honduras,229623078,9429013,2600
Hong Kong,1508760365,7392000,28800
Hungary,4870991390,9787966,13900
Iceland,141492956,343400,30900
India,48557863281,1338658835,2900
Indonesia,12430271016,264645886,3200
Iran,16580287145,80670000,7000
Iraq,3983988823,37552781,1500
Ireland,2112667064,4807388,29600
Israel,2221239489,8713300,19800
Italy,23645999964,60536709,26700
Jamaica,424398054,2920853,3900
Japan,62304608199,126785797,28200
Jordan,614829331,9779173,4300
Kazakhstan,12300616894,18037776,6300
Kenya,410113224,50221473,1000
Kiribati,1913895,114158,800
Kuwait,2626874527,4056097,19000
Kyrgyzstan,181734180,6198000,1600
Laos,36077735,6953000,1700
Latvia,618492628,1942248,10200
Lebanon,634652476,6811873,4800
Lesotho,56424722,2091412,3000
Liberia,47905144,4702228,1000
Libya,1951955718,6580724,6400
Liechtenstein,2000665,37800,25000
Lithuania,1015509983,2828403,11400
Luxembourg,725159607,596336,55100
Macao,51947913,622585,87209
Macedonia,561863099,2074000,6700
Madagascar,83638600,25570540,800
Malawi,43051513,17670260,600
Malaysia,5181419717,31105028,9000
Maldives,19836857,496402,3900
Mali,33149434,18512394,900
Malta,97461275,467999,17700
Marshall Islands,2266040,58058,1600
Martinique,70172928,375948,14400
Mauritania,63673149,4282574,1800
Mauritius,102339737,1264613,11400
Mexico,18971469004,124777324,9000
Federated States of Micronesia,3401355,111459,3568
Moldova,175514617,3549196,1800
Mongolia,536837014,3113779,1800
Montenegro,109622459,622373,8844
Montserrat,1539754,4984,3400
Morocco,1589225046,35581294,4000
Mozambique,163105098,28649007,1200
Myanmar,484208427,53382581,1326
Namibia,63941325,2402603,7200
Nauru,4678403,12876,5000
Nepal,115699603,27627124,1400
Netherlands,11308449554,17131296,28600
New Caledonia,133507792,280350,15000
New Zealand,1779162164,4793900,21600
Nicaragua,160721077,6384855,2300
Niger,44106013,21602472,800
Nigeria,3372735176,190873311,900
Niue,271579,1609,4667
North Korea,4966052271,25430000,1300
Norway,2585216441,5276968,37800
Oman,1071493410,4665935,13100
