year,cumulative_em_co2_t,cumulative_em_co2_ppm,co2_atmospheric_total_ppm,global_land_ocean_temp_C,global_land_temp_C,global_ocean_temp_C
1751,0.009351,0.001198182545,227.0011982,,,
1752,0.018705,0.002396749493,227.0023967,,,
1753,0.028059,0.00359531644,227.0035953,,,
1754,0.037417,0.004794395924,227.0047944,,,
1755,0.046778,0.005993859811,227.0059939,,,
1756,0.056785,0.007276098366,227.0072761,,,
1757,0.066795,0.008558721324,227.0085587,,,
1758,0.076808,0.009841728684,227.0098417,,,
1759,0.086826,0.01112537671,227.0111254,,,
1760,0.096843,0.01240889661,227.0124089,,,
1761,0.107817,0.0138150409,227.013815,,,
1762,0.118794,0.01522156959,227.0152216,,,
1763,0.129775,0.01662861082,227.0166286,,,
1764,0.14076,0.01803616459,227.0180362,,,
1765,0.151748,0.01944410275,227.0194441,,,
1766,0.164008,0.02101502757,227.021015,,,
1767,0.176271,0.0225863368,227.0225863,,,
1768,0.188538,0.02415815856,227.0241582,,,
1769,0.200809,0.02573049286,227.0257305,,,
1770,0.213084,0.02730333969,227.0273033,,,
1771,0.226695,0.02904737376,227.0290474,,,
1772,0.240311,0.03079204851,227.030792,,,
1773,0.25393,0.03253710765,227.0325371,,,
1774,0.267553,0.03428267934,227.0342827,,,
1775,0.281179,0.03602863542,227.0360286,,,
1776,0.296216,0.03795538881,227.0379554,,,
1777,0.311257,0.03988265473,227.0398827,,,
1778,0.326301,0.04181030506,227.0418103,,,
1779,0.341349,0.04373846793,227.0437385,,,
1780,0.356405,0.04566765586,227.0456677,,,
1781,0.373248,0.04782581955,227.0478258,,,
1782,0.390095,0.04998449577,227.0499845,,,
1783,0.406949,0.05214406893,227.0521441,,,
1784,0.423808,0.05430428276,227.0543043,,,
1785,0.440677,0.05646577793,227.0564658,,,
1786,0.459828,0.05891967526,227.0589197,,,
1787,0.478987,0.06137459766,227.0613746,,,
1788,0.49815,0.0638300326,227.06383,,,
1789,0.51732,0.06628636448,227.0662864,,,
1790,0.536498,0.06874372143,227.0687437,,,
1791,0.557917,0.07148822703,227.0714882,,,
1792,0.579813,0.07429385264,227.0742939,,,
1793,0.601728,0.07710191279,227.0771019,,,
1794,0.623609,0.07990561638,227.0799056,,,
1795,0.645502,0.08271085758,227.0827109,,,
1796,0.668453,0.08565166472,227.0856517,,,
1797,0.692547,0.08873892921,227.0887389,,,
1798,0.717642,0.09195445599,227.0919545,,,
1799,0.74407,0.09534078562,227.0953408,,,
1800,0.772162,0.09894033048,227.0989403,,,
1801,0.800122,0.1025229616,227.102523,,,
1802,0.836905,0.1072361205,227.1072361,,,
1803,0.868394,0.1112709371,227.1112709,,,
1804,0.902703,0.1156670921,227.1156671,,,
1805,0.936123,0.1199493358,227.1199493,,,
1806,0.971169,0.1244399256,227.1244399,,,
1807,1.008043,0.1291647447,227.1291647,,,
1808,1.043108,0.133657769,227.1336578,,,
1809,1.078198,0.1381539968,227.138154,,,
1810,1.115578,0.1429436517,227.1429437,,,
1811,1.15516,0.1480154581,227.1480155,,,
1812,1.196168,0.1532699838,227.15327,,,
1813,1.237388,0.1585516739,227.1585517,,,
1814,1.279516,0.1639497099,227.1639497,,,
1815,1.323004,0.1695220083,227.169522,,,
1816,1.370669,0.1756295231,227.1756295,,,
1817,1.4201,0.1819633229,227.1819633,,,
1818,1.469744,0.1883244152,227.1883244,,,
1819,1.519692,0.1947244603,227.1947245,,,
1820,1.570379,0.2012191965,227.2012192,,,
1821,1.621815,0.2078099053,227.2078099,,,
1822,1.67528,0.2146605982,227.2146606,,,
1823,1.73183,0.2219065851,227.2219066,,,
1824,1.790355,0.2294056369,227.2294056,,,
1825,1.851111,0.237190556,227.2371906,,,
1826,1.912531,0.2450605562,227.2450606,,,
1827,1.978446,0.2535065195,227.2535065,,,
1828,2.045084,0.2620451237,227.2620451,,,
1829,2.111479,0.2705525914,227.2705526,,,
1830,2.200602,0.2819722923,227.2819723,,,
1831,2.285131,0.2928033448,227.2928033,,,
